"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","sunflower_HgHa","AET_mean","sunflower_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"6481","South Africa",45992,-28.9459,25.2651,0.222803868408514,2.58815160876654,1.61445263467427,5.25389021628127,3.49225402986176,45992
"6483","Myanmar",45994,12.13,98.9931,0.185932979398522,3.00856722331475,1.81337730279687,3.59228781595213,2.23757342070395,45994
"6486","Mexico",45999,24.9512,-100.499,0.184107083524142,2.52592361822218,1.61196166653904,5.19781516944518,3.82053390533369,45999
"6488","Argentina",46001,-35.0643,-69.9564,0.238456698332999,2.31054159368482,1.58294781261175,5.78923793550226,3.80950249718057,46001
"6489","Bolivia",46002,-13.8618,-62.7698,0.0356098681896237,2.94985014052399,0.803817815640803,4.4215710245264,2.98847132047518,46002
"6493","Spain",46007,40.0912,-0.786089,0.328034540539707,2.28477974805618,1.74856051964709,5.40708143378234,4.21334781739129,46007
"6494","Russian Federation",46008,55.1279,45.9263,0.247091762021805,2.37995265620139,1.13099997070781,5.32502074550366,3.33487843404016,46008
"6495","Vietnam",46009,23.3024,105.215,0.216888724157798,2.89541103470717,1.91520237483352,5.15992795289598,2.59766308039662,46009
"6003","Brazil",45438,-20.7597,-52.8884,0.40283432381853,2.936854696355,1.63634732206938,5.98977763964001,3.58078294659351,45438
"6039","Brazil",45482,-9.43566,-53.7867,0.0785776380663567,2.96525491187359,1.64274907221199,5.98977763964001,3.58078294659351,45482
"6041","Australia",45484,-30.5139,144.741,0.00564769974601781,2.35749243585789,1.43803057598782,5.36316241230006,4.33107201983724,45484
"6075","Brazil",45524,-14.7378,-52.8884,0.401161108390988,2.90325960014852,1.64334271795803,5.98977763964001,3.58078294659351,45524
"6089","Chile",45541,-44.733,-72.6306,0.257545248794602,2.76216481453829,2.32122426784875,4.98465330797233,3.69928062050879,45541
"6095","Brazil",45547,-5.85147,-42.1086,0.389953199983555,2.82038523156585,1.63024242800311,5.98977763964001,3.58078294659351,45547
"6102","Brazil",45555,-13.8609,-39.4308,0.394743440951824,2.92187528502412,1.40090461795719,5.98977763964001,3.58078294659351,45555
"6107","United States",45560,40.0912,-86.126,0.355799170937255,2.87929389908055,1.56294827960664,6.47257508985315,4.55253120853509,45560
"6154","Brazil",45617,-10.3264,-59.1766,0.335597176754865,2.92758726052243,1.63610122705632,5.98977763964001,3.58078294659351,45617
"6159","Brazil",45623,-8.54258,-51.0917,0.345046818696428,2.93942713058669,1.43524371842971,5.98977763964001,3.58078294659351,45623
"6197","Mexico",45669,16.5669,-95.1469,0.245046098764804,2.81594914619991,1.57579659464011,5.19781516944518,3.82053390533369,45669
"6217","Brazil",45691,-6.75027,-66.3631,0.0356520532570559,2.9074305565427,1.51921816642969,5.98977763964001,3.58078294659351,45691
"6230","Brazil",45706,-15.6102,-50.1934,0.396780336641994,2.89877413878807,1.63971359547561,5.98977763964001,3.58078294659351,45706
"6243","Brazil",45720,-10.3264,-58.2783,0.331286664993113,2.93447139718766,1.63852018870219,5.98977763964001,3.58078294659351,45720
"6254","Brazil",45732,-17.3432,-39.5243,0.388208115478138,2.9300935651504,1.39373911472822,5.98977763964001,3.58078294659351,45732
"6255","Colombia",45733,4.08244,-67.2614,0.17801717672882,2.99753069871248,1.71141185311949,5.6784582838221,3.39165397941092,45733
"6259","Brazil",45738,1.37687,-50.2904,0.129908671565564,2.98646425782531,1.47037524582821,5.98977763964001,3.58078294659351,45738
"6278","South Africa",45761,-34.1957,20.7451,0.33063610361675,2.16619920970769,1.78938391681361,5.25389021628127,3.49225402986176,45761
"6326","Brazil",45817,-5.85147,-44.8035,0.352423719847299,2.86559391237408,1.6396456046404,5.98977763964001,3.58078294659351,45817
"6331","Brazil",45821,-4.95121,-58.2783,0.0293837768734442,2.94514899547788,1.58549969130803,5.98977763964001,3.58078294659351,45821
"6356","Mexico",45847,21.3693,-87.1429,0.175511810464286,2.98815003414567,1.47168546796975,5.19781516944518,3.82053390533369,45847
"6396","Kazakhstan",45893,46.6353,78.2657,0.00191196751628517,2.43660747062205,0.363763057070303,4.50851625226694,3.17598650936112,45893
"6407","Brazil",45906,-0.435754,-65.4648,0.0524374170185037,2.98072280982165,1.55267654390275,5.98977763964001,3.58078294659351,45906
"6424","Brazil",45927,-4.0497,-60.9732,0.138083299091494,2.93939443741963,1.56738777307689,5.98977763964001,3.58078294659351,45927
"6436","Brazil",45941,-3.14718,-62.7698,0.0441258240057996,2.9473296446165,1.53712304657261,5.98977763964001,3.58078294659351,45941
