"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","groundnut_HgHa","AET_mean","groundnut_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"10046","Burkina Faso",50107,11.2468,1.01054,0.267808528364505,2.88982007803226,1.60158890413662,2.68484536164441,2.45136741350565,50107
"9561","Guinea",49556,10.4529,-14.1697,0.302134444579919,2.97408383259201,1.31715905560213,3.20709554041922,2.60583339786755,49556
"9583","Brazil",49579,-5.94196,-35.2548,0.0586890672560483,2.79533370365915,1.72808597063486,5.98977763964001,3.58078294659351,49579
"9621","China",49621,37.2755,87.2488,0.307753292311139,2.06040551467709,2.16834395597712,6.95136909386879,2.99627669770714,49621
"9626","Brazil",49627,-6.78354,-35.1407,0.189583244740151,2.80857265394905,1.84448359493104,5.98977763964001,3.58078294659351,49627
"9630","Brazil",49632,-7.64738,-43.0069,0.0820656184571232,2.81727016807089,1.80693968573606,5.98977763964001,3.58078294659351,49632
"9635","Brazil",49638,-16.4788,-43.9052,0.230227040882575,2.83831676137318,1.62504164836459,5.98977763964001,3.58078294659351,49638
"9647","Philippines",49655,6.61851,121.817,0.331551817115415,2.97377089873601,0.947626737934627,5.07753141635459,3.02038699518645,49655
"9688","Malaysia",49701,2.04103,103.976,0.762678560877144,3.00968354180152,1.29743260702776,5.44066196744929,3.60183553935009,49701
"9689","Brazil",49702,-8.54258,-56.4816,0.0920119014720176,2.94636306453997,1.59194371166278,5.98977763964001,3.58078294659351,49702
"9702","Guyana",49716,6.78286,-60.0749,0.190224743767852,3.00600736100007,1.40851105721294,3.30770992340481,2.98460650671991,49716
"9716","Congo DRC",49731,1.37279,19.8752,0.020253739594536,3.00170538931023,0.560836542798774,0,2.26709515600535,49731
"9761","Namibia",49778,-19.0606,19.8752,0.161714401097361,2.64929718203159,0.574096012271075,2.59439255037543,3.33590723556634,49778
"9778","Namibia",49797,-19.9125,18.0785,0.0180294752007137,2.63707556088625,0.536996257794466,2.59439255037543,3.33590723556634,49797
"9802","Indonesia",49826,4.08437,116.892,0.564162208936176,3.05394575421712,1.19470616027217,4.0484418035504,2.91077933629609,49826
"9803","Philippines",49827,14.906,120.504,0.252716427765926,2.97333131272429,1.32585732628468,5.07753141635459,3.02038699518645,49827
"9805","Brazil",49829,-16.4611,-39.4566,0.124427620530561,2.92415924759264,1.56489685280223,5.98977763964001,3.58078294659351,49829
"9811","Brazil",49834,-13.8618,-43.9052,0.478459861332724,2.82608059018721,1.63109530508822,5.98977763964001,3.58078294659351,49834
"9844","Brazil",49874,-18.2042,-52.8884,0.387784282712328,2.93138370206401,1.85098635845794,5.98977763964001,3.58078294659351,49874
"9859","Philippines",49891,12.2952,123.4,0.174292346659903,2.99849805584616,1.01864071258468,5.07753141635459,3.02038699518645,49891
"9882","Philippines",49919,6.13034,120.716,0.233268155361193,2.97148569821448,0.87219113021458,5.07753141635459,3.02038699518645,49919
"9890","Mexico",49927,20.7904,-87.9227,0.228225100665764,2.97357314009276,1.540706906134,5.19781516944518,3.82053390533369,49927
"9926","Brazil",49972,-15.6102,-43.0069,0.189713425070154,2.79773730232987,1.62993419074185,5.98977763964001,3.58078294659351,49972
"9929","Colombia",49976,4.98391,-68.1597,0.329383753067601,3.00042503863678,1.46017026841072,5.6784582838221,3.39165397941092,49976
"9931","Philippines",49978,14.7512,121.277,0.236660388938719,2.97583374697562,1.28615068167997,5.07753141635459,3.02038699518645,49978
"9948","Sri Lanka",49997,8.22268,81.4142,0.317708984872839,2.99687114220371,1.73316198828521,4.07044424997295,2.93780053225296,49997
"9956","Liberia",50006,6.24155,-10.4403,0.157380426236239,2.99733089947091,0.81052231903435,0,2.46505043231503,50006
"9958","Ghana",50008,10.3587,0.112226,0.255411979298716,2.90940000461886,1.42113052386251,3.1078880251828,2.53683352820359,50008
"9959","Brazil",50009,-3.14718,-53.7867,0.0168085157652323,2.93406237484597,1.53135005284398,5.98977763964001,3.58078294659351,50009
"9960","Brazil",50010,-10.3264,-56.4816,0.409609804436956,2.95449232921896,1.84428673681177,5.98977763964001,3.58078294659351,50010
"9990","Brazil",50044,-18.2042,-43.9052,0.0368562492772931,2.83823985708673,1.53285147574691,5.98977763964001,3.58078294659351,50044
"10008","Brazil",50065,-20.7597,-55.5833,0.150263484873422,2.95842308836077,1.77019859008423,5.98977763964001,3.58078294659351,50065
"10034","Brazil",50095,-3.171,-44.8284,0.0790641495374369,2.95348835027535,1.73015538755292,5.98977763964001,3.58078294659351,50095
"10049","Nigeria",50110,11.2468,10.892,0.284460943897185,2.80625671192462,1.80754793339087,0,2.77291888787602,50110
"10061","Peru",50124,-14.7378,-71.753,0.431363771879778,2.68388825315329,1.39443435353168,4.21937492462626,3.31522015660823,50124
"10065","Indonesia",50128,-0.758658,128.224,0.463892984060918,3.01883418962032,0.80076503260292,4.0484418035504,2.91077933629609,50128
"10068","Nigeria",50131,12.1321,10.892,0.267225993981552,2.72894287861402,1.67116178593687,0,2.77291888787602,50131
"10072","Colombia",50138,7.66673,-77.156,0.308000029502855,3.01819631219976,1.37767050267651,5.6784582838221,3.39165397941092,50138
"10073","Colombia",50138,7.66673,-77.156,0.308000029502855,3.01819631219976,1.37767050267651,5.6784582838221,3.39165397941092,50138
"10074","Peru",50139,-12.1,-73.5496,0.435580754735553,2.91870262543786,1.39574499532883,4.21937492462626,3.31522015660823,50139
"10076","Myanmar",50141,16.7115,97.3,0.402827427327615,2.94205728994391,1.21771073331567,3.59228781595213,2.23757342070395,50141
"10083","China",50150,33.601,109.707,0.379050802342616,2.77735776617934,2.18328440782443,6.95136909386879,2.99627669770714,50150
"10087","Colombia",50155,6.78286,-76.2446,0.396199348839891,3.01995532309902,1.46738285032134,5.6784582838221,3.39165397941092,50155
"10089","Australia",50158,-18.2042,144.741,0.346215771673665,2.80747261106966,1.28687716823029,5.36316241230006,4.33107201983724,50158
"10090","Ethiopia",50159,10.3587,40.5364,0.232765171197391,2.67164110262574,0.570306860259601,3.63648789635337,2.09437779351545,50159
"10100","Indonesia",50170,-3.14718,138.453,0.463892984060918,3.01294513221219,1.80538614835266,4.0484418035504,2.91077933629609,50170
"10102","Afghanistan",50172,36.5542,73.7741,0.0463742614626174,2.77060877020552,1.3749273883213,0,2.26964184190232,50172
"10109","Indonesia",50180,0.0285209,129.313,0.463892984060918,3.04053641292601,0.248365081799426,4.0484418035504,2.91077933629609,50180
"10110","Bolivia",50181,-17.3436,-63.6682,0.307064975476928,2.95384163614362,0.786932187770926,4.4215710245264,2.98847132047518,50181
"10117","Nigeria",50190,8.57503,9.99369,0.315752967167596,2.89152750217978,1.53459108365906,0,2.77291888787602,50190
"10119","Cuba",50192,22.5499,-83.4572,0.295765755570995,3.00667992774083,1.05170090619225,0,3.43335218547393,50192
"10120","Spain",50193,43.2536,-2.63355,0.439107022541012,2.51707802090004,1.91691905636774,5.40708143378234,4.21334781739129,50193
