mean_barle,Fishnet_ID,COUNTRY,Longitude,mean_barle_1,Barley_Pred,Barley_Error_Ratio,NEAR_DIST
1.080000043,14077,Kazakhstan,52.47000122,1.080000043,0.487200976,0.592799067,3114964.129
1.102861726,14095,Pakistan,30.54210091,1.102861726,0.488437907,0.614423819,2429018.907
0.350119051,14126,Russian Federation,50.79320145,0.350119051,0.451556695,-0.101437644,4690100.243
0.301983469,14193,Congo DRC,-4.951210022,0.301983469,0.429498491,-0.127515022,4079907.999
0.549586768,14210,Bolivia,-16.47879982,0.549586768,0.436365633,0.113221135,12587151.16
0.369033145,14304,Argentina,-42.77030182,0.369033145,0.42925742,-0.060224275,13907942.41
0.078750003,14361,Kazakhstan,47.85860062,0.078750003,0.394095365,-0.315345362,2291951.968
2.512109041,14367,Argentina,-36.5279007,2.512109041,0.595825505,1.916283536,12776207.25
2.739729515,14373,Poland,50.79320145,2.739729515,0.645177541,2.094551974,3037066.344
1.23507573,14381,Zambia,-15.61019993,1.23507573,0.51066778,0.72440795,4956500.247
0.074374999,14389,Congo DRC,4.983910084,0.074374999,0.405276723,-0.330901724,2976701.209
0.226547622,14397,Russian Federation,59.95019913,0.226547622,0.391778101,-0.165230479,4976699.838
2.825,14479,China,26.57789993,2.825,0.647205596,2.177794404,6881642.467
2.257736683,14624,United States,35.82600021,2.257736683,0.631534924,1.626201759,10655035.86
0.517500021,14685,Kazakhstan,44.74689865,0.517500021,0.41731053,0.100189491,2756130.887
0.957124527,14704,Pakistan,32.84600067,0.957124527,0.468173622,0.488950905,2693937.73
2.56615382,14762,New Zealand,-39.30479813,2.56615382,0.582808005,1.983345815,15329531.36
2.396744818,14824,Canada,52.47000122,2.396744818,0.553972242,1.842772576,10600395.73
2.148797989,14967,United States,39.39780045,2.148797989,0.602639435,1.546158554,12053631.41
2.512109041,15035,Argentina,-35.79949951,2.512109041,0.604926886,1.907182155,12986284.33
1.846249908,15260,Tanzania,-4.049699783,1.846249908,0.559770186,1.286479722,3675002.231
4.818333214,15346,Zimbabwe,-18.20420074,4.818333214,0.705391357,4.112941857,5184949.33
1.51333336,15414,Kazakhstan,54.08509827,1.51333336,0.535689882,0.977643478,3261323.247
6.080559313,15448,France,48.4192009,6.080559313,0.85442918,5.226130133,4417306.625
0.874881206,15457,Kenya,4.983910084,0.874881206,0.502421511,0.372459695,2574686.105
2.925,15477,China,26.57789993,2.925,0.662212925,2.262787075,5515129.099
1.730000019,15623,Russian Federation,56.14410019,1.730000019,0.506476661,1.223523358,3694405.596
3,15681,China,29.76140022,3,0.644595841,2.355404159,5264245.568
0.49848484,15694,Bolivia,-19.91250038,0.49848484,0.439962244,0.058522596,12736642.94
0.160909084,15711,Peru,-8.542579651,0.160909084,0.40748599,-0.246576906,13182819.5
1.944513321,15749,United States,47.85860062,1.944513321,0.617064627,1.327448694,11170246.07
0.535476196,15793,Russian Federation,56.14410019,0.535476196,0.470734715,0.064741481,4404375.479
0.106472893,15857,Saudi Arabia,25.76740074,0.106472893,0.430056254,-0.323583361,298355.7971
0.392227446,15866,Tunisia,35.82600021,0.392227446,0.406191329,-0.013963883,3276501.913
1.677634913,15917,South Africa,-28.15279961,1.677634913,0.56783342,1.109801493,6302467.387
