Fishnet_ID,COUNTRY,mean_wheat,NEAR_DIST,Producer
46035,Belarus,2.297100337,1418989.581,Bottom
74260,Belarus,2.09787052,1419113.8,Bottom
59471,Russian Federation,2.016866607,1419382.708,Top
65991,Belarus,1.880922295,1419694.459,Bottom
47155,Russian Federation,1.64256608,1420080.056,Top
53150,Kenya,1.863855864,1420417.359,Bottom
60498,China,2.616419957,1420475.787,Top
58135,Kazakhstan,0.020208334,1420769.949,Bottom
74804,Russian Federation,1.384515759,1420973.308,Top
69496,Russian Federation,1.096074979,1421122.042,Top
54476,Poland,3.358339865,1421206.967,Bottom
70596,Belarus,1.620836093,1421575.275,Bottom
75363,Russian Federation,1.821950666,1421689.437,Top
50963,Kazakhstan,1.109373868,1421821.993,Bottom
43445,Kazakhstan,0.466186585,1422558.283,Bottom
74721,Lithuania,2.116305732,1423313.448,Bottom
71209,Kazakhstan,1.093604418,1423429.565,Bottom
66353,Russian Federation,1.110497018,1423593.403,Top
71959,Russian Federation,1.633388417,1425078.994,Top
66791,Russian Federation,1.877576947,1425291.88,Top
56272,Poland,3.733180228,1425292.255,Bottom
29425,Cameroon,0.378962519,1425310.91,Bottom
52128,Kenya,1.538842956,1425867.879,Bottom
52995,India,0.393184392,1425947.75,Top
41370,Cameroon,1.472579016,1426738.572,Bottom
56071,Kenya,1.899999976,1426750.909,Bottom
51220,Belarus,1.439617557,1427062.8,Bottom
57314,Central African Republic,0.388197523,1427677.865,Bottom
49060,Russian Federation,1.107908487,1428470.395,Top
53061,Kazakhstan,1.370833278,1428608.717,Bottom
45947,Russian Federation,1.11705249,1429087.41,Top
48925,Poland,2.269013504,1429445.806,Bottom
50258,Lithuania,3.121626482,1429947.194,Bottom
58848,India,0.850288629,1430368.117,Top
57418,Italy,0.567118287,1430941.359,Bottom
59967,Russian Federation,2.233813678,1431905.963,Top
21585,Russian Federation,1.107908487,1432278.512,Top
77134,Russian Federation,1.0672309,1432325.882,Top
59812,India,3.321589053,1432681.081,Top
44800,India,3.192799532,1432750.068,Top
64944,Russian Federation,1.607502733,1432943.449,Top
63526,Russian Federation,1.667039871,1433336.057,Top
49555,Switzerland,2.308276243,1434290.388,Bottom
70797,Kyrgyzstan,1.477893483,1434535.526,Bottom
47183,India,3.107922621,1434560.089,Top
43607,Tunisia,2.099821301,1434719.687,Bottom
42142,India,0.530871887,1435145.97,Top
56599,Belarus,1.360895004,1435540.911,Bottom
60891,Central African Republic,0.01667606,1436069.637,Bottom
26266,Central African Republic,0.554857997,1436210.019,Bottom
49354,India,2.680323893,1436318.903,Top
19840,Chad,0.193940029,1436373.823,Bottom
46274,India,1.236983774,1436420.456,Top
71309,Germany,6.253802953,1436789.084,Top
71457,Kazakhstan,1.106174661,1436968.929,Bottom
18964,Germany,5.410871257,1437089.263,Top
63153,India,1.56744891,1437178.71,Top
70828,Germany,5.57945543,1437392.236,Top
51056,Russian Federation,1.835836177,1437676.263,Top
54756,Germany,4.564973085,1438172.71,Top
58822,Lithuania,3.210066293,1439553.104,Bottom
66225,India,0.27902232,1440035.047,Top
61164,Central African Republic,0.17509863,1440748.578,Bottom
52669,Chad,1.678649647,1440785.15,Bottom
63548,Russian Federation,2.233813678,1441489.316,Top
64601,India,2.121724561,1441610.629,Top
52911,Russian Federation,1.118909914,1442731.296,Top
58318,Italy,0.803417573,1442790.664,Bottom
3985,Germany,7.083160505,1442846.335,Top
52277,Kazakhstan,0.191979172,1443228.107,Bottom
42788,Russian Federation,1.768240602,1443510.926,Top
74342,Russian Federation,1.107908487,1444663.75,Top
50855,Poland,3.447628162,1445121.047,Bottom
70319,Kazakhstan,0.182271657,1445207.481,Bottom
50240,India,2.433846555,1445342.374,Top
67746,Italy,0.708319167,1445599.144,Bottom
66228,Poland,3.756367683,1447483.939,Bottom
61404,Tunisia,1.764264339,1448011.843,Bottom
45120,Kazakhstan,1.055460231,1448863.289,Bottom
63159,India,2.031657092,1448878.111,Top
57786,Kenya,1.884637704,1449159.063,Bottom
67186,Poland,1.555761384,1450606.382,Bottom
47427,Lithuania,2.74368438,1451774.728,Bottom
53740,Kyrgyzstan,1.827777704,1452239.415,Bottom
50923,Liechtenstein,4.962684944,1453071.012,Bottom
47459,Italy,0.729152083,1453132.299,Bottom
74765,Germany,6.725847826,1453371.423,Top
57341,India,1.563041702,1453706.442,Top
59407,India,1.230442566,1453917.938,Top
30304,Russian Federation,1.735575327,1453981.905,Top
67261,Russian Federation,1.989748282,1457029.636,Top
65000,Poland,3.66468253,1457942.754,Bottom
64822,India,1.714786673,1459794.823,Top
73197,Russian Federation,1.726037691,1460591.054,Top
41923,Uganda,1.647083316,1460997.564,Bottom
64182,Russian Federation,1.383843456,1462755.914,Top
43357,Kenya,1.834590192,1463180.168,Bottom
58491,Chad,0.771054383,1464009.959,Bottom
70088,Kazakhstan,0.865769392,1464069.266,Bottom
48311,Germany,5.94878303,1464494.202,Top
44795,Italy,0.459095756,1464705.245,Bottom
52278,Uganda,1.757708314,1464767.413,Bottom
42667,Lithuania,2.348121431,1466603.48,Bottom
57004,Italy,1.623320258,1466832.46,Bottom
47804,Italy,3.711530839,1467203.028,Bottom
46137,Chad,1.034676451,1467240.139,Bottom
53091,Russian Federation,1.427546489,1469307.806,Top
49561,South Sudan,0.350909081,1470442.201,Bottom
62907,Germany,6.063363358,1470495.671,Top
55230,India,1.533118165,1470603.755,Top
74394,Kazakhstan,0.176363642,1470931.911,Bottom
63028,Russian Federation,1.311934947,1471520.638,Top
66667,Russian Federation,1.120481546,1471807.605,Top
42881,Kyrgyzstan,1.495454485,1473337.502,Bottom
7306,Russian Federation,1.562017726,1473416.516,Top
49426,Switzerland,5.518950865,1474509.512,Bottom
39159,Italy,3.900456014,1475521.235,Bottom
50887,Poland,0.512231957,1475901.631,Bottom
49539,Kazakhstan,0.434479179,1476059.059,Bottom
68785,Russian Federation,1.155119042,1476208.606,Top
72477,Russian Federation,1.55141697,1476218.406,Top
71514,Poland,3.665067067,1476283.697,Bottom
42542,Belarus,2.135429722,1476292.266,Bottom
15866,Tunisia,0.660943282,1476327.715,Bottom
73491,Belarus,2.326348709,1476409.306,Bottom
60159,Belarus,1.981876646,1476960.683,Bottom
57837,Tunisia,0.030258747,1477070.64,Bottom
72153,Russian Federation,1.513574451,1477362.777,Top
37609,Kenya,1.815079744,1477897.066,Bottom
59610,Russian Federation,1.647272543,1478024.718,Top
61154,Russian Federation,1.498289645,1478276.127,Top
67706,Russian Federation,1.211451292,1478417.365,Top
67601,Belarus,1.123989392,1478746.786,Bottom
72241,Russian Federation,2.258578796,1478956.177,Top
62996,India,1.272241454,1479556.127,Top
64806,Russian Federation,1.107908487,1480350.113,Top
55830,Lithuania,2.442576803,1480397.611,Bottom
64180,Germany,4.534794694,1480563.685,Top
21400,China,0.406538864,1480741.109,Top
56386,Russian Federation,0.897124788,1480764.364,Top
48702,China,3.030562441,1480797.593,Top
46543,Kenya,1.836136341,1481713.908,Bottom
38835,China,0.462516361,1482178.563,Top
57514,India,1.448992879,1482209.742,Top
40607,India,1.649210365,1482247.065,Top
64199,Russian Federation,2.152088787,1482377.578,Top
73889,Kazakhstan,0.702641276,1482483.118,Bottom
61694,Russian Federation,1.806822658,1482770.68,Top
65281,Germany,6.653458352,1483401.385,Top
48060,China,2.792388157,1483588.998,Top
21877,Germany,4.318938623,1483798.139,Top
55309,Belarus,1.038275871,1483959.143,Bottom
66801,Lithuania,0.831612562,1484183.106,Bottom
71670,Russian Federation,1.314239162,1484374.204,Top
64434,Russian Federation,1.27659703,1485917.87,Top
48603,Russian Federation,0.794724944,1485983.171,Top
74124,Russian Federation,1.674805582,1486146.666,Top
32928,Lithuania,3.070059479,1486699.597,Bottom
66019,Switzerland,2.395059725,1486993.89,Bottom
50831,China,2.822016085,1487601.236,Top
70723,Russian Federation,1.906914115,1488661.212,Top
42537,Russian Federation,0.737280521,1489461.127,Top
46008,Russian Federation,1.845527975,1490308.928,Top
51742,India,2.523847806,1490648.233,Top
