mean_rice_,NEAR_DIST,NEAR_RANK,NEAR_X,NEAR_Y
4.873578354,3186577.744,1958,128.1221539,43.12510269
0.41967618,3189429.466,1959,82.30807442,38.34534672
2.325045799,3191013.816,1960,129.9187845,41.84552864
4.300383409,3191448.145,1961,79.61312857,10.80339589
5.771080816,3192514.372,1962,127.2238386,43.77953811
2.997303724,3193836.466,1963,136.2069915,33.92234294
5.35803999,3195649.705,1964,123.6305775,45.70002889
4.03384667,3196061.833,1965,136.2069915,33.97684583
1.699243967,3196604.97,1966,84.10470499,40.43620685
3.273240695,3196655.519,1967,118.2406858,47.55634683
3.751709745,3199736.439,1968,77.816498,29.36955533
4.097197581,3200447.464,1969,114.6474247,-8.126849976
8.640683671,3202448.91,1970,126.3255233,44.42683895
1.043056897,3204501.018,1971,121.8995368,-5.401677201
4.260453311,3204789.971,1972,77.816498,16.07699615
2.622686386,3206914.087,1973,115.1664362,-8.059163925
3.819586754,3210877.434,1974,80.51144385,36.19181514
5.131038395,3215141.791,1975,78.71481329,12.57406233
4.979831109,3215335.808,1976,120.9356316,46.94469194
1.199871229,3215747.497,1977,76.91818272,23.02511334
1.211321537,3215780.451,1978,76.91818272,22.8875601
1.49437964,3216120.463,1979,129.2899824,0.04305394
0.535484808,3216155.973,1980,81.40975914,37.63441344
7.951084985,3216236.23,1981,125.4272081,45.0670023
6.001084916,3216553.523,1982,79.61312857,34.72190291
1.365993027,3216581.919,1983,76.91818272,23.71727971
1.434626027,3217393.906,1984,76.91818272,22.05267853
2.681862055,3218815.021,1985,77.816498,30.15333299
5.31806159,3219346.332,1986,122.7322622,46.32592291
0.597751856,3219543.854,1987,129.3070671,0.016412769
1.551658573,3219751.825,1988,76.91818272,24.54169549
1.49437964,3220633.71,1989,128.3965635,-0.887920689
6.613100539,3221454.427,1990,119.1390011,47.55634683
1.204354679,3221461.879,1991,76.91818272,21.21278221
0.223989785,3222253.628,1992,120.4710538,-6.30126233
2.473407904,3222359.131,1993,81.51861128,6.333885882
2.915598777,3224462.268,1994,80.51144385,8.127972805
2.291283863,3225237.249,1995,76.91818272,25.36067104
4.055902409,3226685.535,1996,77.816498,15.20655249
4.009063487,3227382.749,1997,136.2069915,34.72190291
0.933501347,3228016.696,1998,76.91818272,20.36802369
0.34569935,3228178.063,1999,91.29122726,45.70002889
7.681318654,3229686.499,2000,86.79965084,43.12510269
5.446801715,3230155.464,2001,85.90133556,42.46353935
2.989455113,3232737.943,2002,81.40975914,6.333885882
2.301645854,3232979.356,2003,76.91818272,26.1740754
3.105490228,3233082.606,2004,115.5457399,-8.204515315
7.861459211,3233327.012,2005,87.69796613,43.77953811
5.865885933,3233719.677,2006,124.5288928,45.70002889
2.790935481,3234839.221,2007,85.00302027,41.79485858
4.433345446,3236973.173,2008,129.0204692,43.12510269
0.713231831,3237083.111,2009,76.91818272,19.51856069
4.797984952,3237372.055,2010,117.3423705,48.16090152
3.073248085,3237816.871,2011,129.9187845,42.46353935
1.746245443,3239747.115,2012,77.816498,30.93086991
4.488934464,3240235.229,2013,128.1221539,43.77953811
0.183452725,3240956.138,2014,88.59628141,44.42683895
2.310772324,3242510.702,2015,126.0708273,-3.116108846
1.46501674,3242913.959,2016,76.91818272,26.98178314
2.95489368,3243826.077,2017,84.10470499,41.11907488
5.135075737,3246359.036,2018,121.8339469,46.94469194
7.942382773,3247483.904,2019,127.2238386,44.42683895
3.670174837,3247527.732,2020,80.51144385,36.91655438
5.46073395,3247650.895,2021,78.71481329,11.69016253
4.706452593,3248085.059,2022,120.0373164,47.55634683
0.718520135,3248678.092,2023,76.91818272,18.66455611
1.18647722,3249239.629,2024,122.7322622,-5.401677201
2.697415328,3249409.811,2025,79.61312857,35.46024618
3.967109087,3251158.928,2026,77.816498,14.33245432
0.171491719,3252439.16,2027,89.49459669,45.0670023
4.822630573,3254733.225,2028,123.6305775,46.32592291
2.422095219,3254972.124,2029,76.91818272,27.78367435
0.36606884,3256247.734,2030,81.40975914,38.34534672
2.217615225,3257186.177,2031,83.20638971,40.43620685
2.523257135,3257912.069,2032,126.3255233,-3.095876233
8.116732783,3258586.187,2033,126.3255233,45.0670023
5.814559937,3259625.553,2034,118.2406858,48.16090152
3.128738141,3260043.282,2035,136.2069915,35.46024618
3.682516624,3261764.906,2036,116.4440552,-8.219732702
0.348779126,3262385.077,2037,78.71481329,33.97684583
1.712627274,3262444.375,2038,77.816498,31.70207379
2.098538625,3262810.706,2039,76.91818272,17.80617783
0.482338637,3267629.398,2040,90.39291198,45.70002889
2.548389814,3269080.793,2041,76.91818272,28.57963469
2.5225351,3270491.678,2042,80.51144385,7.231832141
7.894014163,3273397.037,2043,125.4272081,45.70002889
3.745226078,3274895.363,2044,79.16263602,9.913968571
0.05089463,3274970.7,2045,82.30807442,39.7462773
4.611925373,3276500.585,2046,120.9356316,47.55634683
3.924154621,3278178.203,2047,77.816498,13.45489258
5.996723478,3279103.655,2048,122.7322622,46.94469194
3.450448662,3279482.09,2049,76.91818272,16.94359866
7.697921685,3281227.443,2050,85.90133556,43.12510269
8.934034436,3282247.377,2051,86.79965084,43.77953811
5.372633739,3282639.1,2052,78.71481329,10.80339589
5.16539579,3283512.482,2053,79.61312857,36.19181514
4.451590467,3283709.467,2054,119.1390011,48.16090152
5.359406904,3284288.736,2055,85.00302027,42.46353935
3.993718793,3285163.424,2056,76.91818272,29.36955533
1.400002372,3285238.651,2057,80.51144385,37.63441344
2.227840256,3286370.202,2058,91.29122726,46.32592291
0.109718026,3286817.524,2059,77.816498,32.46685781
2.293759197,3287239.513,2060,87.69796613,44.42683895
2.094943523,3287319.15,2061,136.1254377,36.19181514
3.670291356,3288700.411,2062,129.9187845,43.12510269
0.912674785,3288849.936,2063,123.6305775,-5.287568801
5.247997107,3289350.934,2064,129.0204692,43.77953811
3.140000105,3290648.726,2065,130.8170998,42.4436443
2.812654846,3291309.173,2066,117.5454002,-8.149717817
2.713313129,3291524.819,2067,84.10470499,41.79485858
5.156415392,3291761.356,2068,124.5288928,46.32592291
1.494560178,3292126.676,2069,130.8170998,42.46353935
2.153271882,3292556.197,2070,78.71481329,34.72190291
4.159776299,3293949.581,2071,136.2069915,36.19181514
5.864485711,3293970.86,2072,128.1221539,44.42683895
0.962821802,3295376.084,2073,126.2241698,-3.598665039
0.211616379,3296080.83,2074,88.59628141,45.0670023
0.061011473,3297211.427,2075,81.40975914,39.04931339
2.632022977,3297263.296,2076,137.1053068,34.57107936
3.18934679,3297925.901,2077,117.887022,-8.095480024
4.840181587,3298685.523,2078,76.91818272,16.07699615
4.235144409,3300399.277,2079,117.3423705,48.75837299
2.049878674,3302144.732,2080,126.3255233,-3.598665039
7.64139635,3302438.797,2081,127.2238386,45.0670023
4.538193193,3303012.583,2082,83.20638971,41.11907488
5.774290556,3303140.627,2083,76.91818272,30.15333299
4.067912901,3304967.165,2084,137.1053068,34.7581931
4.735033469,3306652.675,2085,121.8339469,47.55634683
1.284171732,3307018.678,2086,130.2837183,-0.106254914
4.921011066,3307704.221,2087,77.816498,12.57406233
1.058656801,3307760.69,2088,76.01986743,23.22422482
0.984597603,3307951.532,2089,76.01986743,22.8875601
1.270260814,3308170.048,2090,76.01986743,23.71727971
0.048232046,3308635.977,2091,89.49459669,45.70002889
4.426872253,3309581.842,2092,120.0373164,48.16090152
1.04444087,3310070.688,2093,76.01986743,22.05267853
1.293129316,3310682.668,2094,76.01986743,24.54169549
5.402852843,3313516.007,2095,123.6305775,46.94469194
1.42071544,3314564.699,2096,76.01986743,21.21278221
7.2137733,3314620.982,2097,126.3255233,45.70002889
1.244126409,3315439.838,2098,76.01986743,25.36067104
2.120725548,3318734.522,2099,80.51144385,6.333885882
2.367320391,3318769.548,2100,79.61312857,36.91655438
2.793958686,3318811.331,2101,82.30807442,40.43620685
4.948292387,3320044.129,2102,78.71481329,9.913968571
4.78965518,3320406.588,2103,76.91818272,15.20655249
0.672304919,3321464.017,2104,76.01986743,20.36802369
2.421996057,3322013.715,2105,118.2406858,48.75837299
1.370914757,3322386.483,2106,76.01986743,26.1740754
2.557644252,3322930.79,2107,76.91818272,30.93086991
2.686852276,3324058.774,2108,78.71481329,35.46024618
2.091979036,3324759.075,2109,90.39291198,46.32592291
6.736384575,3330373.058,2110,125.4272081,46.32592291
0.64620827,3330792.095,2111,76.01986743,19.51856069
0.588036875,3331462.508,2112,76.01986743,26.98178314
9.628755685,3332506.612,2113,85.90133556,43.77953811
5.945264233,3334043.821,2114,85.00302027,43.12510269
1.791918278,3334332.295,2115,120.7991453,-7.26666403
4.838718939,3334777.058,2116,137.1053068,35.46024618
7.371118546,3334919.82,2117,86.79965084,44.42683895
2.613637924,3335070.446,2118,118.2406858,-8.3264609
4.403665578,3337198.94,2119,120.9356316,48.16090152
5.618714909,3338491.818,2120,122.7322622,47.55634683
1.024876434,3338962.195,2121,81.40975914,39.7462773
4.940264216,3339629.293,2122,84.10470499,42.46353935
5.622276404,3339691.166,2123,77.816498,11.69016253
5.177342656,3339796.32,2124,129.9187845,43.77953811
0.042323276,3341171.593,2125,87.69796613,45.0670023
1.946236911,3341693.856,2126,130.8170998,43.12510269
6.293508699,3341845.687,2127,129.0204692,44.42683895
0.671969354,3342437.686,2128,120.9356316,-7.283809115
0.987993979,3342565.196,2129,76.01986743,18.66455611
0.553513457,3342603.335,2130,76.01986743,27.78367435
1.306686731,3342927.914,2131,127.2238386,-3.365368114
1.651267997,3342944.041,2132,130.8170998,-0.009383721
