Fishnet_ID,mean_potat,AET_mean,GDP_Mean,Pesticide,potato_Fe
71938,19.8222,NA,23616.9058,271772,0
71941,7.13715,491.672619,23616.9058,271772,0
71943,4.8313,562.8571429,23616.9058,271772,0
71952,7.43,36.37202381,520.5689219,812,0
71955,0,249.125,990.4634249,8940649,0
71958,31.419,530.9166667,22350.24783,586193,0
71959,8.68448,268.5952381,2161.113229,211358,0
71960,0,234.452381,35687.73944,2968759,0
71961,7.43,82.85119048,520.5689219,812,1.42709
71963,6.81923,341.7440476,2161.113229,211358,17.9461
71975,25.6187,360.6339286,23616.9058,271772,0
71978,8.72548,248.7797619,2161.113229,211358,0
71986,4.68574,373.0059524,2161.113229,211358,0
71994,0.215197,87.76190476,1498.638251,32248,0
71997,0,176.3571429,2161.113229,211358,0
71999,14.3209,385.4672619,990.4634249,8940649,0
72000,6.34286,185.2380952,1498.638251,32248,0
72001,0,91.02083333,1498.638251,32248,0
72007,0,166.6577381,1498.638251,32248,0
72014,4.05988,126.0625,1498.638251,32248,0
72018,2.13471,467.8928571,23616.9058,271772,0
72019,12.3881,405.8630952,1902.008889,72710,0
72023,10.304,157.1428571,1498.638251,32248,0
72026,23.3017,550.3392857,23616.9058,271772,0
72033,32.0574,NA,22350.24783,586193,0
72035,29.1398,476.1517857,24631.38853,686791,0
72037,9.047,529.2380952,1902.008889,72710,0
72047,17.3135,445.5833333,990.4634249,8940649,59.8449
72052,3.01956,540.5892857,23616.9058,271772,0
72058,1.04566,370.6845238,23616.9058,271772,0
72063,34.5068,263.9166667,23616.9058,271772,96.881
72066,0.487073,NA,23616.9058,271772,0
72080,15.4975,202.8095238,35687.73944,2968759,0
72086,23.1894,435.2678571,30849.12253,12948,0
72087,0,NA,28743.93051,15997,0
72090,6.52441,427.7619048,2161.113229,211358,19.4232
72091,0.412196,341.9166667,2161.113229,211358,0
72094,10.034,351.7678571,2161.113229,211358,0
72095,2.45175,127.1696429,1498.638251,32248,0
72096,4.39209,509.8184524,23616.9058,271772,0
72101,1.98819,232.2202381,2161.113229,211358,0
72106,10.0939,312.3214286,2161.113229,211358,20.7725
72111,11.55,384.1488095,26547.85055,9159,0
72113,19.9674,426.0297619,30849.12253,12948,0
72119,1.14074,408.2619048,2161.113229,211358,0
72122,1.35091,39.5297619,520.5689219,812,0
72132,10.2632,348.8809524,1419.803631,34279,57.9102
72134,11.0034,NA,829.1960761,191406,16.0042
72138,0,272.672619,35687.73944,2968759,0
72153,7.38776,333.5535714,2161.113229,211358,0
72173,2.07606,301.452381,990.4634249,8940649,0
72174,36.8466,476.6190476,33546.79288,22476,0
72182,8.50968,480.0863095,23616.9058,271772,0
72185,7.41166,525.125,23616.9058,271772,0
72188,0.627397,352.0416667,23616.9058,271772,0
72189,13.9909,353.375,990.4634249,8940649,57.3173
72190,8.19976,407.8154762,2161.113229,211358,18.3267
72192,17.4181,406.0416667,1419.803631,34279,69.4216
72194,5.24405,539.2440476,2161.113229,211358,0
72201,10.1864,302.4464286,1419.803631,34279,52.2467
72208,11.4759,293.0238095,990.4634249,8940649,57.1
72212,0.618295,345.952381,2161.113229,211358,0
72213,0.070744,205.6190476,1498.638251,32248,0
72219,3.42243,224.5059524,2161.113229,211358,0
