Fishnet_ID,sunflower_HgHa,AET_mean,Growing_Mean,GDP_Mean,sunflower_Fertilizer
409,NA,NA,63.58536585,NA,0.02203412
410,NA,NA,NA,NA,0.017601734
411,NA,NA,NA,NA,0.030927995
412,NA,NA,0,NA,0.02370852
413,NA,NA,NA,NA,0.056879907
414,NA,NA,NA,NA,0.028706187
415,NA,NA,NA,NA,0.019877531
416,NA,NA,NA,NA,0.076174348
417,NA,NA,NA,NA,0.02777283
418,NA,NA,NA,NA,0.013395045
419,NA,NA,0,NA,0.025411093
420,NA,NA,NA,NA,0.023366693
421,NA,NA,NA,NA,0.020962681
422,NA,NA,NA,NA,0.019751191
423,NA,NA,NA,NA,0.038110636
424,NA,NA,1,NA,0.04350511
425,NA,NA,NA,NA,0.043690275
426,NA,NA,NA,NA,0.040148733
427,NA,NA,NA,NA,0.025193751
428,NA,106.8154762,NA,23616.9058,0
429,NA,NA,NA,NA,0.027880351
430,NA,NA,NA,NA,0.027527409
431,NA,NA,NA,NA,0.040615791
432,NA,NA,NA,NA,0.023116476
433,NA,NA,NA,NA,0.018945487
434,NA,NA,NA,NA,0.018692633
435,NA,NA,NA,NA,0.032782983
436,NA,NA,NA,NA,0.0167465
437,NA,NA,NA,NA,0.02532639
438,NA,NA,NA,NA,0.023912494
439,NA,NA,NA,NA,0.017281754
440,NA,NA,NA,NA,0.019586693
441,NA,NA,0,NA,0.027840271
442,NA,NA,NA,NA,0.024338227
443,NA,NA,NA,NA,0.022149988
444,NA,NA,NA,NA,0.026227135
445,NA,NA,NA,NA,0.020425002
446,NA,NA,NA,NA,0.035832399
447,NA,NA,NA,NA,0.021430349
448,NA,NA,NA,NA,0.028811113
449,NA,NA,NA,NA,0.021624825
450,NA,NA,NA,NA,0.046561675
451,NA,NA,NA,NA,0.020952979
452,NA,NA,NA,NA,0.027149772
453,NA,NA,NA,NA,0.027067493
454,NA,NA,NA,NA,0.014892225
455,NA,NA,NA,NA,0.03016596
456,NA,NA,NA,NA,0.023076743
457,NA,NA,NA,NA,0.023441896
458,NA,NA,10.81818182,NA,0.023540977
459,NA,NA,NA,NA,0.023239648
460,NA,NA,NA,NA,0.023653441
461,NA,NA,2.113636364,NA,0.022629894
462,NA,2.666666667,NA,NA,0.030542351
463,NA,NA,NA,NA,0.037266583
464,1.816461568,718.6130952,NA,990.4634249,166.6167016
465,NA,NA,71.81818182,NA,0.02229694
466,NA,NA,NA,NA,0.029171116
467,NA,NA,NA,NA,0.028777423
468,NA,18.7797619,1,NA,0.040459567
469,NA,170.0922619,NA,767.312629,1.348488311
470,NA,NA,NA,NA,0.013640974
471,NA,NA,NA,NA,0.023912499
472,NA,NA,NA,NA,0.018899274
473,NA,NA,NA,NA,0.035067231
474,NA,NA,NA,NA,0.021105558
475,NA,NA,NA,NA,0.036635957
476,NA,NA,NA,23616.9058,0
477,NA,NA,NA,NA,0.020419569
478,NA,NA,71.1,NA,0.037256771
479,NA,2.666666667,NA,NA,0.03024328
480,NA,NA,NA,NA,0.028671496
481,NA,NA,NA,NA,0.021433335
482,NA,NA,NA,NA,0.031495524
483,NA,NA,NA,NA,0.040834719
484,NA,NA,NA,NA,0.018716734
485,NA,NA,NA,NA,0.01905481
486,NA,NA,55.3,NA,0.030180826
487,NA,NA,NA,NA,0.021892725
488,NA,NA,NA,NA,0.03411767
489,NA,NA,NA,NA,0.025038326
490,NA,NA,NA,NA,0.015083338
491,NA,NA,NA,NA,0.031250829
492,NA,NA,NA,NA,0.0207
493,NA,331.3214286,1.151515152,19846.09679,1.466656059
494,NA,NA,NA,NA,0.032030287
495,NA,NA,NA,NA,0.019703734
496,NA,NA,NA,NA,0.039390638
497,NA,NA,NA,NA,0.024347102
498,NA,NA,NA,NA,0.021583345
499,NA,NA,NA,NA,0.048928369
500,NA,NA,NA,NA,0.021083338
501,NA,NA,NA,NA,0.019722107
502,NA,NA,NA,NA,0.039587936
503,NA,NA,NA,NA,0.030437143
504,NA,NA,NA,NA,0.022481594
505,NA,NA,NA,NA,0.023474308
506,NA,54.5,NA,185.0552126,0
507,NA,NA,NA,NA,0.031024981
508,NA,NA,NA,NA,0.038755192
509,NA,NA,NA,NA,0.020396863
510,NA,NA,NA,16263.81595,0.360654712
511,NA,NA,NA,NA,0.017406681
512,NA,NA,NA,NA,0.035847532
513,NA,NA,NA,NA,0.022728216
514,NA,NA,NA,NA,0.018866956
515,NA,NA,NA,NA,0.020826366
516,NA,NA,NA,NA,0.017227128
517,NA,NA,NA,NA,0.025252832
518,NA,NA,NA,NA,0.019712817
519,NA,NA,NA,NA,0.027123802
520,NA,NA,NA,NA,0.025436166
521,NA,NA,NA,NA,0.017475877
522,NA,NA,NA,NA,0.023109028
523,NA,NA,3,NA,0.0289438
524,NA,NA,NA,NA,0.021800011
525,NA,NA,NA,NA,0.02536339
526,NA,NA,NA,NA,0.022432991
527,NA,NA,NA,NA,0.025829862
528,NA,NA,50.27272727,NA,0.020316668
529,NA,NA,NA,NA,0.017155193
530,NA,NA,NA,NA,0.023445456
531,NA,NA,NA,NA,0.03492474
532,NA,NA,NA,NA,0.021032286
533,NA,NA,NA,NA,0.024582031
534,NA,NA,NA,NA,0.03547999
535,NA,NA,NA,NA,0.031934946
536,NA,NA,NA,NA,0.034939765
537,NA,NA,NA,NA,0.03749489
538,NA,NA,3.333333333,NA,0.018674442
539,NA,NA,NA,NA,0.023787761
540,NA,19.13095238,1.25,NA,0.026016665
541,NA,297.1369048,NA,23616.9058,0.204342082
542,NA,NA,NA,NA,0.022883631
543,NA,NA,NA,NA,0.030564396
544,NA,NA,NA,NA,0.029485747
545,NA,NA,NA,NA,0.013913202
546,NA,NA,NA,NA,0.024784565
547,NA,NA,48.27777778,NA,0.038375845
548,NA,NA,11.44628099,NA,0.020925725
549,NA,NA,NA,NA,0.017770057
550,NA,NA,NA,NA,0.02755807
551,NA,NA,NA,NA,0.038238811
552,NA,NA,NA,NA,0.014994995
553,NA,NA,NA,NA,0.027700868
554,NA,NA,NA,NA,0.02174479
555,NA,NA,NA,NA,0.021704631
556,NA,428.547619,NA,29141.21247,2.063295975
557,NA,NA,4.491525424,NA,0.03314146
558,NA,173.9166667,NA,21431.4599,0.381741911
559,NA,NA,NA,NA,0.018882933
560,NA,NA,6.568627451,NA,0.02201909
561,NA,NA,NA,NA,0.025021919
562,NA,NA,NA,NA,0.034951938
563,NA,NA,NA,NA,0.025375059
564,NA,NA,NA,NA,0.027417054
565,NA,NA,NA,NA,0.034125306
566,NA,833.952381,NA,972.8034761,2.762669861
567,NA,NA,NA,NA,0.023156292
568,NA,NA,NA,NA,0.037171243
569,NA,NA,NA,NA,0.031060613
570,NA,NA,NA,NA,0.024862559
571,NA,NA,NA,NA,0.019458328
572,NA,NA,NA,NA,0.028784684
573,NA,NA,NA,NA,0.026057285
574,NA,NA,NA,NA,0.020821183
575,NA,NA,NA,NA,0.025491373
576,NA,438.1904762,39.5,2023.86319,1.355066373
577,NA,NA,NA,NA,0.020550476
