Order_Mean,FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
254,70096,2,11771992612,0.019395035,0.019458206,6.31716E-05,0.019426621,3.15858E-05,0.038853241
255,71806,1,5885996306,0.019425564,0.019425564,0,0.019425564,0,0.019425564
256,74113,2,11771992612,0.01939491,0.019452699,5.77886E-05,0.019423804,2.88943E-05,0.038847608
257,9138,2,11771992612,0.019422088,0.019423729,1.64099E-06,0.019422908,8.20495E-07,0.038845817
258,46240,1,5885996306,0.019420097,0.019420097,0,0.019420097,0,0.019420097
259,43382,2,11771992612,0.019416276,0.019421987,5.71087E-06,0.019419132,2.85544E-06,0.038838264
260,73243,2,11771992612,0.019396933,0.019432321,3.53884E-05,0.019414627,1.76942E-05,0.038829254
261,76221,1,5885996306,0.019413825,0.019413825,0,0.019413825,0,0.019413825
262,51258,1,5885996306,0.019407034,0.019407034,0,0.019407034,0,0.019407034
263,70140,1,5885996306,0.019403964,0.019403964,0,0.019403964,0,0.019403964
264,58278,1,5885996306,0.019400522,0.019400522,0,0.019400522,0,0.019400522
265,61820,2,11771992612,0.019363552,0.019427229,6.36764E-05,0.019395391,3.18382E-05,0.038790781
266,69700,2,11771992612,0.019363193,0.0194251,6.19069E-05,0.019394146,3.09534E-05,0.038788293
267,67857,2,11771992612,0.019360732,0.019427549,6.68168E-05,0.019394141,3.34084E-05,0.038788281
268,62699,1,5885996306,0.019393418,0.019393418,0,0.019393418,0,0.019393418
269,57468,1,5885996306,0.019391691,0.019391691,0,0.019391691,0,0.019391691
270,59183,1,5885996306,0.019388886,0.019388886,0,0.019388886,0,0.019388886
271,61275,1,5885996306,0.019388473,0.019388473,0,0.019388473,0,0.019388473
272,56224,1,5885996306,0.01938745,0.01938745,0,0.01938745,0,0.01938745
273,61941,2,11771992612,0.019339906,0.019423319,8.3413E-05,0.019381613,4.17065E-05,0.038763225
274,65846,1,5885996306,0.019380556,0.019380556,0,0.019380556,0,0.019380556
275,72311,1,5885996306,0.01937707,0.01937707,0,0.01937707,0,0.01937707
276,53052,1,5885996306,0.019369796,0.019369796,0,0.019369796,0,0.019369796
277,55399,2,11771992612,0.019343276,0.019384515,4.1239E-05,0.019363895,2.06195E-05,0.03872779
278,53948,2,11771992612,0.019359784,0.019366173,6.38887E-06,0.019362979,3.19444E-06,0.038725957
279,53446,2,11771992612,0.019309726,0.0194155,0.000105774,0.019362613,5.2887E-05,0.038725225
280,74151,1,5885996306,0.019360511,0.019360511,0,0.019360511,0,0.019360511
281,73454,2,11771992612,0.019313946,0.019404376,9.04296E-05,0.019359161,4.52148E-05,0.038718322
282,46584,2,11771992612,0.019319616,0.01939868,7.90637E-05,0.019359148,3.95318E-05,0.038718296
283,74379,2,11771992612,0.019340564,0.019377332,3.67686E-05,0.019358948,1.83843E-05,0.038717896
284,69586,1,5885996306,0.019358451,0.019358451,0,0.019358451,0,0.019358451
285,40806,2,11771992612,0.019310674,0.019405257,9.45833E-05,0.019357965,4.72916E-05,0.038715931
286,32920,1,5885996306,0.019356878,0.019356878,0,0.019356878,0,0.019356878
287,5184,1,5885996306,0.019356122,0.019356122,0,0.019356122,0,0.019356122
288,70721,2,11771992612,0.019322015,0.019385578,6.35628E-05,0.019353797,3.17814E-05,0.038707593
